,headline,category,authors,date,topic
38,"Ivanka Trump Backed Her Dad Even As She Knew He Lied, Ex-White House Aide Points Out",POLITICS,Mary Papenfuss,2022-06-11,rep
39,"Trump Trapped By 'Ego' In 2020; GOP Should Leave Him There, Slams New York Post",POLITICS,Mary Papenfuss,2022-06-11,rep
40,Kevin McCarthy Blames 'Everybody In The Country' For Jan. 6 Attack,POLITICS,Josephine Harvey,2022-06-10,rep
41,Jared Kushner Dismissed White House Counsel's Threats To Resign As 'Whining',POLITICS,Amanda Terkel,2022-06-10,rep
42,Peter Navarro Ripped For Complaining That Being Arrested Wasn't Very Pleasant,POLITICS,Josephine Harvey,2022-06-07,rep
43,Outraged Matthew McConaughey Begs For Commonsense Gun Laws At White House,POLITICS,Lydia O'Connor,2022-06-07,white house
44,Pete Buttigieg Calls 'Door' Solution To Mass Shootings 'Definition Of Insanity',POLITICS,Mary Papenfuss,2022-06-06,rep
45,Sen. Chris Murphy: 'We're Closer Than Ever Before' On Bipartisan Gun Legislation,POLITICS,Nina Golgowski,2022-06-05,democrats
46,Filmmaker John Waters Complains Trump Forever Ruined Bad Taste,POLITICS,Mary Papenfuss,2022-06-05,trump
47,Why Biden Is Giving Gun Control Negotiators ‘Some Space’,POLITICS,Kevin Robillard,2022-06-05,biden
48,New York Poised To Raise Age For Semiautomatic Rifles,POLITICS,"MARINA VILLENEUVE, AP",2022-06-02,rep
49,Comedian Stunned After Asking Man In Confederate Flag Shirt If He’s Pro-Slavery,POLITICS,Elyse Wanshel,2022-06-02,rep
50,"WATCH LIVE — A New Labor Movement: How Workers Are Unionizing Amazon, Starbucks, REI And Apple",POLITICS,Amanda Terkel,2022-06-01,biden
51,"Georgia DA Could Bury Trump With His Own Words, Says Former Fed Prosecutor",POLITICS,Mary Papenfuss,2022-05-30,Ex-Prosecutor
52,"Adam Kinzinger Calls Gun Age Limits 'A No-Brainer,' Considers Assault Weapon Ban",POLITICS,Nina Golgowski,2022-05-29,rep
53,Texas Gov. Greg Abbott Loudly Booed At Uvalde Memorial,POLITICS,Mary Papenfuss,2022-05-29,republicans
54,Christian Nationalism On The Rise In Some GOP Campaigns,POLITICS,"PETER SMITH and DEEPA BHARATH, AP NEWS",2022-05-29,republicans
55,Federal Judges Overrule Ohio Supreme Court: Mandate Voided Voting Map,POLITICS,"Andrew Welsh-Huggins, AP",2022-05-28,court
56,Defiant Kevin McCarthy Challenges  Subpoena Authority Of Jan. 6 Committee,POLITICS,"Farnoush Amiri and Mary Clare Jalonick, AP",2022-05-28,rep
57,Gov. Greg Abbott Stops At Fundraiser After Texas School Shooting,POLITICS,Marita Vlachou,2022-05-26,biden
58,Brian Kemp Easily Wins GOP Nomination Despite Being Trump’s No. 1 Revenge Target,POLITICS,S.V. Date,2022-05-25,republicans
59,Texas Gov. On State's Deadliest School Shooting: 'It Could Have Been Worse',POLITICS,Nina Golgowski,2022-05-25,rep
60,The Supreme Court Just Made It More Likely Innocent People Will Be Executed,POLITICS,Jessica Schulberg,2022-05-24,court
61,Kellyanne Conway Finally Admits Marriage With George Conway Is On The Rocks,POLITICS,David Moye,2022-05-24,rep
62,Appeals Court Rules Florida Law On Social Media Unconstitutional,POLITICS,"Curt Anderson, AP",2022-05-23,court
63,Group That Leaked Cawthorn's Nude Video Now Out To 'Fire' Lauren Boebert,POLITICS,Mary Papenfuss,2022-05-21,rep
64,Trump Heaps Praise On Hungary's Viktor Orban At Conservative Conference: Report,POLITICS,Sara Boboltz,2022-05-21,trump
65,CPAC Head Hails Abortion Ban As Solution To Racist 'Replacement' Fears: Vice,POLITICS,Mary Papenfuss,2022-05-20,rep
66,"Doug Mastriano, Far-Right Election Denier, Wins Pennsylvania Gubernatorial Primary",POLITICS,Christopher Mathias,2022-05-18,biden
67,Donald Trump Is Back On Twitter,POLITICS,Mary Papenfuss,2022-05-17,rep
68,Lawrence O’Donnell Accuses Rupert Murdoch Of Shaping Thinking Of White Supremacist Killers,POLITICS,Lee Moran,2022-05-17,rep
69,Congress Will Discuss UFOs For First Time In More Than 50 Years And People Have Questions,POLITICS,Ben Blanchet,2022-05-17,rep
70,Democrats Have Little Time To Avert An Election-Eve Obamacare Premium Hike,POLITICS,Jonathan Cohn,2022-05-16,election
71,Melania Trump Rips Vogue 'Bias' For Keeping Her Off The Cover,POLITICS,Mary Papenfuss,2022-05-15,rep
72,Rep. Elise Stefanik Attacks Mysterious 'Pedo Grifters' For Shortage Of Infant Formula,POLITICS,Mary Papenfuss,2022-05-14,rep
73,Ted Cruz Mocked Republicans Who Suck Up To Trump And People's Irony Meters Exploded,POLITICS,Lee Moran,2022-05-14,republicans
74,GOP Rep. Madison Cawthorn Receives A Brutal Reminder After Veterans Tweet,POLITICS,Lee Moran,2022-05-13,republicans
75,"Charles Herbster, Accused Of Groping 8 Women, Loses Nebraska Gubernatorial Race",POLITICS,Amanda Terkel,2022-05-11,election
76,New Jersey Governor Announces Proposals To Expand Abortion Access In The State,POLITICS,Ryan Grenoble,2022-05-11,rep
77,Rep. Cori Bush: Biden Should 'Absolutely' Say The Word 'Abortion' More,POLITICS,Amanda Terkel,2022-05-11,rep
78,House Lawmakers Approve Resolution Allowing Their Own Staffers To Unionize,POLITICS,Dave Jamieson and Arthur Delaney,2022-05-11,vote
79,Lawyer For Roe Calls Overturning The Law 'Giant Step Backward' For Privacy Rights,POLITICS,Marita Vlachou,2022-05-05,rep
80,Rep. Shontel Brown Wins Ohio Democratic Primary,POLITICS,Daniel Marans,2022-05-04,democrats
81,"J.D. Vance, Trump's Pick In Ohio, Wins GOP Senate Primary",POLITICS,Liz Skalka,2022-05-04,Ex-Prosecutor
82,State Legislatures To Be ‘Main Battleground’ For Abortion Rights If Roe Is Overturned,POLITICS,Travis Waldron,2022-05-04,rep
83,2022 Midterms: What To Know About Tuesday's Primaries In Ohio And Indiana,POLITICS,"Julie Carr Smyth and Tom Davies, AP",2022-05-03,election
84,Gubernatorial Races More Important Than Ever With Roe v. Wade On The Chopping Block,POLITICS,Igor Bobic,2022-05-03,election
85,Rep. Jamie Raskin Rips Supreme Court Draft Against Roe v. Wade,POLITICS,Mary Papenfuss,2022-05-03,rep
86,Protests Held Outside Supreme Court Following Shocking Leaked Draft About Abortion Rights,POLITICS,Marita Vlachou,2022-05-03,court
87,Joe Biden Says Roe v. Wade Shouldn't Be Overturned After Supreme Court Abortion Leak,POLITICS,Marita Vlachou,2022-05-03,biden
88,Progressive Group Tries To Diversify Democratic Staffers,POLITICS,Kevin Robillard,2022-05-02,democrats
89,Nebraska Gubernatorial Candidate Accused Of Groping Wants To Put Sex Ed 'Back In Homes',POLITICS,Mary Papenfuss,2022-05-02,election
90,"Pelosi Visits Kyiv, Meets With Ukraine President",POLITICS,"Vanessa Gera, Nicole Winfield and Lisa Mascaro, AP",2022-05-01,rep
91,2nd Woman Publicly Accuses Nebraska Candidate Of Groping,POLITICS,Mary Papenfuss,2022-05-01,biden
92,Joe Manchin Backs West Virginia Republican In Primary Against MAGA Challenger,POLITICS,Sanjana Karanth,2022-05-01,republicans
93,Mark Meadows Says Jan. 6 Panel Leaked Texts To 'Vilify' Him,POLITICS,"Eric Tucker, AP",2022-04-30,rep
94,Marjorie Taylor Greene Spews Head-Spinning Double Talk To Laura Ingraham,POLITICS,Ron Dicker,2022-04-28,rep
95,A Major ‘Alt-Right’ Figure Just Disavowed White Nationalism,POLITICS,Christopher Mathias,2022-04-28,rep
96,Republicans Cheer As Congressional Candidate Demands Fauci’s Execution By Firing Squad,POLITICS,Lee Moran,2022-04-27,republicans
97,Ex-FBI Assistant Director Accuses Tucker Carlson Of Aiding And Abetting Terrorism,POLITICS,Lee Moran,2022-04-27,biden
98,Trump's Latest Boast Gets Brutal Fact-Check From His Own Niece,POLITICS,Ed Mazza,2022-04-26,rep
99,Donald Trump Says Prince Harry Is 'Whipped' In Marriage To Meghan Markle,POLITICS,Ron Dicker,2022-04-25,trump
100,"Californian Charged With Making Violent, Anti-Trans Threats Against Merriam-Webster",POLITICS,Sarah Ruiz-Grossman,2022-04-23,rep
101,Biden Administration Urges Global Trade Chief To Release COVID-19 Patent Waiver Text,POLITICS,Daniel Marans,2022-04-21,rep
102,Biden’s Plan To Battle The Opioid Epidemic: Access To Naloxone,POLITICS,Kevin Robillard,2022-04-21,rep
103,Ex-Labor Secretary Warns How Donald Trump Could Actually Steal The 2024 Election,POLITICS,Lee Moran,2022-04-20,election
104,Dashcam Video Shows Madison Cawthorn Surrendering His Driver's License,POLITICS,David Moye,2022-04-20,rep
105,Jen Psaki Says Court Ruling Ending Mask Mandate For Travel Is 'Disappointing',POLITICS,Marita Vlachou,2022-04-19,court
106,Justice Department Prepares To Appeal Judge's Ruling On Transportation Mask Mandate,POLITICS,Lydia O'Connor,2022-04-19,court
107,Happy Tax Day! Even The Treasury Department Thinks The IRS Is Terrible.,POLITICS,Arthur Delaney,2022-04-18,rep
108,Rain Dampens The 1st White House Easter Egg Roll Since 2019,POLITICS,"DARLENE SUPERVILLE, AP",2022-04-18,white house
109,Congress Might Finally Do Something About The Exorbitant Cost Of Prison Phone Calls,POLITICS,Jessica Schulberg,2022-04-15,rep
110,Ron DeSantis Signals Support For Woman Who Stole Fetal Remains From D.C. Clinic,POLITICS,Alanna Vagianos,2022-04-14,rep
111,Ex-Trump Aide Stephen Miller Speaks To 1/6 Panel,POLITICS,"Eric Tucker and Farnoush Amiri, AP",2022-04-14,rep
112,FDA Authorizes First Breathalyzer Test To Detect COVID-19,POLITICS,Sarah Ruiz-Grossman,2022-04-14,biden
113,White House Says Story That Bird Pooped On Joe Biden Is Just Crap,POLITICS,David Moye,2022-04-13,white house
114,Blame Trump? Jury Hears That Defense At Capitol Riot Trial,POLITICS,"Michael Kunzelman, AP",2022-04-13,trump
115,How A Trump Tax Break For The Poor Led To A $30 Million Gold Stash In A Queens Warehouse,POLITICS,Molly Redden,2022-04-12,trump
116,DOJ Denies Jan. 6 Panel Details In Trump Records Probe,POLITICS,"Farnoush Amiri, AP",2022-04-12,biden
117,Marjorie Taylor Greene Argues U.S. Capitol Riot Happened Just 'One Time',POLITICS,Josephine Harvey,2022-04-12,capitol
118,"Biden Announces New Gun Control Rule, ATF Nominee",POLITICS,Kevin Robillard and S.V. Date,2022-04-11,biden
119,"Trump Is Basking In Surreal, Adoring Mar-a-Lago Bubble, Says Reporter",POLITICS,Mary Papenfuss,2022-04-11,rep
120,Ohio Fairgrounds Turns Down Upcoming Trump Political Rally,POLITICS,Mary Papenfuss,2022-04-09,trump
121,Trump-Backed Vernon Jones Says Civil Rights Don't Apply To Gay People Because They 'Can Change',POLITICS,Mary Papenfuss,2022-04-09,republicans
122,Books Are The Latest Casualty Of The New Conservative Culture War,POLITICS,Nathalie Baptiste,2022-04-08,war
123,Twitter Beef Between Rep. Marjorie Taylor Greene and Jimmy Kimmel Enters Its 2nd Day,POLITICS,David Moye,2022-04-08,rep
124,Gov. Greg Abbott Says Texas Will Bus Undocumented Immigrants To D.C.,POLITICS,Lydia O'Connor,2022-04-07,rep
125,"Rand Paul Held Up Ketanji Brown Jackson's Senate Vote, And Twitter Was Not Having It",POLITICS,David Moye,2022-04-07,vote
126,Ex-Trump Officials Urge Texas To Declare Border 'Invasion',POLITICS,"ACACIA CORONADO and PAUL J. WEBER, AP",2022-04-06,rep
127,Jan. 6 Committee Obtains 101 Emails From Former Trump Lawyer,POLITICS,Nick Visser,2022-04-06,biden
128,Sen. Josh Hawley Washes His Hands Of The 'Pro-Pedophile' Smears He Ignited,POLITICS,Arthur Delaney,2022-04-05,biden
129,"GOP Rep. Fred Upton, Who Voted To Impeach Trump, Announces Retirement",POLITICS,Liz Skalka,2022-04-05,republicans
130,‘Now Or Never’: New U.N. Report Sees Narrow Path For Averting Climate Catastrophe,POLITICS,Chris D'Angelo,2022-04-04,rep
131,Ukrainian Americans Protest California Church Talk By Putin Defender Tucker Carlson,POLITICS,Mary Papenfuss,2022-04-04,biden
132,Sarah Palin Is Running For Congress In Alaska,POLITICS,Mary Papenfuss and Celeste Lavin,2022-04-02,election
133,Ted Cruz Imagines 'Taking Peyote' Nude During His Upcoming Yale Appearance,POLITICS,Mary Papenfuss,2022-04-02,donald
134,Trump Tells Member Of Gays For Trump At Mar-a-Lago: 'You Don't Look Gay',POLITICS,Mary Papenfuss,2022-04-02,trump
135,Marjorie Taylor Greene Sues To Stop Challenge To Her Reelection Eligibility,POLITICS,"Kate Brumback, AP",2022-04-01,election
136,Cory Booker Explains Why He Went To Bat For Ketanji Brown Jackson,POLITICS,Philip Lewis,2022-03-30,rep
137,This Texas City’s Water Crisis Is Shaping A Democratic Congressional Primary,POLITICS,Daniel Marans,2022-03-29,election
138,Joe Biden Slaps Down Question From Fox News' Peter Doocy: 'You Got To Be Silly',POLITICS,Mary Papenfuss,2022-03-29,biden
139,Trump Touts 'Massive' Turnout At Georgia Rally That Journalists Say Was 'Smallest' In Years,POLITICS,Mary Papenfuss,2022-03-28,trump
140,Ukraine Ambassador On Putin's Strategy: ‘We Can Always Count On Russia Lying’,POLITICS,Sanjana Karanth,2022-03-27,rep
141,Biden Budget Seeks Minimum Tax On Households Worth $100 Million,POLITICS,"Josh Boak, AP",2022-03-27,democrats
142,GOP Sen. Rick Scott's Lies About His Own Policy Get Called Out On Fox News,POLITICS,Josephine Harvey,2022-03-27,republicans
143,Ex-Maine Gov Candidate Out On Bail After Child Porn Arrest,POLITICS,"Patrick Whittle, AP",2022-03-26,biden
144,Rep. Madison Cawthorn Tells Audience: 'I Don't Have A Whole Lot Of Wisdom',POLITICS,Mary Papenfuss,2022-03-26,rep
145,U.S. Indictment Details Russian Efforts To Hack Worldwide Energy Sector,POLITICS,Nick Visser,2022-03-25,court
146,"60 Miles From Ukraine, Biden Sees Refugee Crisis In Poland",POLITICS,"CHRIS MEGERIAN and DARLENE SUPERVILLE, AP",2022-03-25,biden
147,Key Dem Manchin Says He'll Back Jackson For Supreme Court,POLITICS,"MARY CLARE JALONICK and KEVIN FREKING, AP",2022-03-25,democrats
148,"White House Removes Dr. Oz, Herschel Walker From Presidential Council",POLITICS,Josephine Harvey,2022-03-24,white house
149,OOPS! Reporters Spot What Sen. Ted Cruz Was Looking At On His Phone During Hearings,POLITICS,Ed Mazza,2022-03-24,rep
150,Ketanji Brown Jackson Vows To Be Nonpartisan In Supreme Court Hearing,POLITICS,Igor Bobic and Jennifer Bendery,2022-03-21,court
151,Liz Cheney Says Jan. 6 Committee Exploring ‘Enhanced Criminal Penalties’ For Trump,POLITICS,Sanjana Karanth,2022-03-20,rep
152,'No City Anymore': Mariupol Survivors Flee On Train To Safety,POLITICS,"Cara Anna and Renata Brito, AP",2022-03-20,biden
153,Top Putin Flack Sergey Lavrov Praises Fox News,POLITICS,Lee Moran,2022-03-19,rep
154,"European Mars Mission Suspended For This Year, Due To War In Ukraine",POLITICS,"John Leicester, AP",2022-03-17,war
155,"Irish PM Tests Positive For COVID While Attending Event With Biden, Pelosi",POLITICS,"ZEKE MILLER and COLLEEN LONG, AP",2022-03-17,democrats
156,Pandemic Preparedness Bill Moves Ahead; Funding Still Needed,POLITICS,"Ricardo Alonso-Zaldivar, AP",2022-03-16,biden
157,Biden To Travel To Europe For NATO Summit On Russia’s War On Ukraine,POLITICS,Sanjana Karanth,2022-03-15,rep
158,UC Berkeley Can Enroll Thousands More Students As Gov. Signs New Legislation,POLITICS,Sarah Ruiz-Grossman,2022-03-15,rep
159,Joe Manchin Opposes Sarah Bloom Raskin Nomination To Federal Reserve,POLITICS,Igor Bobic,2022-03-14,joe
160,Idaho Becomes First State To Pass Copycat Texas Abortion Ban,POLITICS,Alanna Vagianos,2022-03-14,rep
161,Idaho Gov. Candidate Ammon Bundy Busted Protesting Police Seizure Of Malnourished Baby,POLITICS,Mary Papenfuss,2022-03-13,biden
162,Wisconsin Republicans Want Supreme Court To Block Map That Adds A Black-Majority District,POLITICS,Paul Blumenthal,2022-03-12,republicans
163,Deportation Agents Are Using An App To Monitor Immigrants,POLITICS,"Amy Taxin and Amancai Biraben, AP",2022-03-11,rep
164,"Senate Gives Final Approval To Ukraine Aid, Huge Budget Bill",POLITICS,"Alan Fram, AP",2022-03-11,vote
165,"California Can Set Tough Vehicle Emissions Rules Again, Biden Administration Says",POLITICS,Nick Visser,2022-03-10,biden
166,"House Approves Ban On Russian Oil To U.S., Bolstering Biden",POLITICS,"Lisa Mascaro, AP",2022-03-10,biden
167,"Texas Flagged 27,000 Mail Ballots For Rejection In Primary",POLITICS,"PAUL J. WEBER and ACACIA CORONADO, AP",2022-03-09,election
168,Top Law Enforcement Officials Back Judge Ketanji Brown Jackson's Supreme Court Nomination,POLITICS,"Colleen Long, AP",2022-03-08,court
169,Biden Reportedly Set To Ban Russian Oil Imports Over Ukraine War,POLITICS,"Zeke Miller, Mike Balsamo and Josh Boak, AP",2022-03-08,rep
170,Twitter Reportedly Bans 100 'I Stand With Putin' Accounts For 'Inauthentic Behavior',POLITICS,Mary Papenfuss,2022-03-06,rep
171,Blinken Vows U.S. Support To Moldova As War Rages In Neighboring Ukraine,POLITICS,"Matthew Lee, AP",2022-03-06,war
172,Utah Gov. Spencer Cox Says He Plans To Veto Trans Sports Ban Bill,POLITICS,"Sam Metz and Lindsay Whitehurst, AP",2022-03-05,rep
173,Kamala Harris To Travel To Poland And Romania Amid Russian Invasion Of Ukraine,POLITICS,Sarah Ruiz-Grossman,2022-03-05,rep
174,"Zelenskyy Asked For More Lethal Aid, No-Fly Zone In Call With U.S. Congress",POLITICS,Sara Boboltz,2022-03-05,rep
175,Ukrainians In U.S. To Be Protected From Deportation To War-Torn Homeland,POLITICS,Sarah Ruiz-Grossman,2022-03-04,war
176,Sen. Ben Ray Luján Returns To Congress After Suffering Stroke,POLITICS,Igor Bobic,2022-03-03,rep
177,Joe Biden: Abortion Rights ‘Under Attack As Never Before’,POLITICS,Alanna Vagianos,2022-03-02,biden
178,Heated Texas Congressional Primary Still Too Close To Call,POLITICS,Daniel Marans,2022-03-02,election
179,Ukrainian Ambassador Oksana Markarova To Attend Tonight's State Of The Union Speech,POLITICS,Ryan Grenoble,2022-03-01,rep
180,Biden To Give First State Of The Union Address At Fraught Moment,POLITICS,"ZEKE MILLER and COLLEEN LONG, AP",2022-03-01,biden
181,'Stand Your Ground' Laws Have Skyrocketed Since Trayvon Martin's Killing,POLITICS,"Curt Anderson and Lindsay Whitehurst, AP",2022-02-26,biden
182,Republicans At CPAC Would Rather Talk About The Southern Border Than Ukraine,POLITICS,Liz Skalka,2022-02-25,republicans
183,GOP Sen. Jim Inhofe To Retire This Year,POLITICS,Igor Bobic,2022-02-25,republicans
184,Antony Blinken Says He Believes Russia Will Invade Ukraine Imminently,POLITICS,Nick Visser,2022-02-24,rep
185,Why Texas Progressive Greg Casar Gives Hope To The Embattled Left,POLITICS,Daniel Marans,2022-02-23,rep
186,Kentucky Elects First Openly LGBTQ State House Member In Special Election,POLITICS,Travis Waldron,2022-02-23,election
187,"Allen Weisselberg, Trump Organization Seek To Toss Tax Fraud Case",POLITICS,"Michael R. Sisick, AP",2022-02-23,rep
188,U.S. Relocates Ukraine Embassy Staff To Poland Amid Russian Threat,POLITICS,Nick Visser,2022-02-22,rep
189,Western Officials Pledge To Support Ukraine As Russia Says It Should Be Dismembered,POLITICS,Akbar Shahid Ahmed,2022-02-21,rep
190,White House Won’t Say If Russian Movements Into Donbas Will Trigger Massive Sanctions,POLITICS,S.V. Date,2022-02-21,white house
191,Court To Weigh In On Trump Policy Forcing Asylum-Seekers To Wait In Mexico,POLITICS,"MARK SHERMAN, AP",2022-02-18,court
192,Biden Signs Stopgap Spending Bill Averting Government Shutdown,POLITICS,"ZEKE MILLER and ALAN FRAM, AP",2022-02-18,biden
193,"Elizabeth Warren Wants Stock Trading Ban For State Lawmakers, Other Elected Officials, Too",POLITICS,Nick Visser,2022-02-17,biden
194,Ex-NYT Columnist Nicholas Kristof Ineligible To Run For Governor,POLITICS,Zahara Hill,2022-02-17,election
195,House GOP Targets D.C. Home Rule Amid Statehood Push,POLITICS,Paul Blumenthal and Travis Waldron,2022-02-16,republicans
196,"Alexandria Ocasio-Cortez Calls Congress’ Inner Workings A ‘Shit Show,’ But Hopes For Change",POLITICS,Nick Visser,2022-02-15,rep
197,"Biden Keeps Up Pressure On Putin To Pull Back Russian Troops, End Ukraine Crisis",POLITICS,S.V. Date,2022-02-15,biden
198,"NYC Fires More Than 1,000 Workers Over Vaccine Mandate",POLITICS,"Michelle L. Price, AP",2022-02-14,biden
199,Rudy Giuliani Reportedly In Talks To Testify Before Jan. 6 Committee,POLITICS,Mary Papenfuss,2022-02-13,biden
200,'Our Jaws Hit The Floor' Over Trump's Recklessness With Classified Info: Ex-Aide,POLITICS,Mary Papenfuss,2022-02-12,trump
201,Officer Placed On Leave After Viral Video Shows Him Choking Black Purdue Student,POLITICS,Phillip Jackson,2022-02-12,rep
202,"GOP Pundits, Naturally, Are Championing The Canadian Trucker Protest",POLITICS,"David Bauder, AP",2022-02-11,republicans
203,Sen. Alex Padilla Calls Out GOP Colleagues For Racist Treatment Of Biden’s Court Picks,POLITICS,Jennifer Bendery,2022-02-10,republicans
204,Biden Administration Slaps Down ‘Crack Pipe’ Funding After Right-Wing Misinformation Spree,POLITICS,Philip Lewis,2022-02-09,biden
205,Ohio Mayor Says Ice Fishing Leads To Prostitution,POLITICS,Liz Skalka,2022-02-09,biden
206,New Jersey Lifting School Mask Mandate In March,POLITICS,Lydia O'Connor,2022-02-07,biden
207,White House Looks At Ways To Reverse Decline In Union Membership,POLITICS,Dave Jamieson,2022-02-07,white house
208,UN Ambassador: China Had Uyghur Athlete Be Olympic Torchbearer To Distract From Genocide,POLITICS,Sanjana Karanth,2022-02-07,rep
209,Ted Cruz Throws In With Anti-Vaccine Ottawa Trucker Mob As City Declares Emergency,POLITICS,Mary Papenfuss,2022-02-07,republicans
210,Canadian Anti-Vax Trucker 'Siege' Hit With Multimillion-Dollar Lawsuit,POLITICS,Mary Papenfuss,2022-02-06,rep
211,Gov. Ron DeSantis Going After GoFundMe For Dumping Anti-Vaccine Ottawa Truckers,POLITICS,Mary Papenfuss,2022-02-06,rep
212,Biden Isn’t The First President To Consider Diversity When Picking A SCOTUS Nominee,POLITICS,Paul Blumenthal,2022-02-05,court
213,Conservative Pundit Warns Just How Unhinged A Second Donald Trump Presidency Could Be,POLITICS,Lee Moran,2022-02-03,republicans
214,Biden Aims To Reduce Cancer Deaths By 50% Over Next 25 Years,POLITICS,"JOSH BOAK, AP",2022-02-02,rep
215,GOP Rep Slams Sen. Josh Hawley As 'One Of The Worst Human Beings',POLITICS,David Moye,2022-02-02,republicans
216,Tucker Carlson Reportedly Donated To Marjorie Taylor Greene's Reelection Campaign,POLITICS,David Moye,2022-02-02,election
