,headline,category,authors,date,topic
94,Senator Ted Cruz Says Supreme Court Was Wrong In Same-Sex Marriage Ruling,POLITICS,Nina Golgowski,2022-07-17,republicans
95,Watchdog Says Secret Service Deleted Jan. 6 Text Messages,POLITICS,"FARNOUSH AMIRI, AP",2022-07-15,biden
96,GOP No Longer Cares About The Deficit If It Means Women Having More Babies,POLITICS,Jonathan Nicholson,2022-07-15,republicans
97,John Fetterman Recruits Snooki To Take Some 'Jersey Shore' Shots At Dr. Oz,POLITICS,Ben Blanchet,2022-07-15,rep
98,Rep. Marjorie Taylor Greene Says Rep. Alexandria Ocasio-Cortez Should Thank Her Sexual Harasser,POLITICS,Ed Mazza,2022-07-15,rep
99,Texas Sues Biden Administration For Right To Deny Life-Saving Abortions,POLITICS,Lydia O'Connor,2022-07-14,biden
100,Trump Tried To Call White House Support Staffer Who Was Talking To Jan. 6 Panel: Report,POLITICS,Nick Visser,2022-07-14,trump
101,Biden Admin: Pharmacists Cannot Refuse Prescriptions Similar To Medication Abortion,POLITICS,Alanna Vagianos,2022-07-13,biden
102,Ex-Trump Adviser Peter Navarro Accuses Mike Pence Of Treason In Bonkers Rant,POLITICS,Ed Mazza,2022-07-12,rep
103,Mehmet Oz Mocked By Senate Foe John Fetterman With Sassy Plane Banner,POLITICS,Mary Papenfuss,2022-07-11,biden
104,"Steve Bannon Will Testify Before Jan. 6 Committee, Says Rep. Zoe Lofgren",POLITICS,Nina Golgowski,2022-07-10,biden
105,Trump Now Claims He Won Wisconsin Since State Court Has Restricted Ballot Drop Boxes,POLITICS,Mary Papenfuss,2022-07-09,trump
106,How A Crowded GOP Field Could Bolster A Trump 2024 Campaign,POLITICS,"Jill Colvin, AP",2022-07-09,republicans
107,Police Swarm Steve Bannon's D.C. Home In Frightening 'Swatting' Attack: Report,POLITICS,Mary Papenfuss,2022-07-09,rep
108,Political Violence Is The New American Normal,POLITICS,Andy Campbell,2022-07-09,biden
109,"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,"Michael R. Sisak, AP",2022-08-18,charged
110,Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,"Holly Ramer, AP",2022-08-11,suspect
111,Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,Nina Golgowski,2022-08-08,attack
112,Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders,CRIME,Sara Boboltz,2022-08-06,police
113,University of West Georgia Professor Charged With Murder Of Incoming Freshman,CRIME,Elyse Wanshel,2022-08-02,charged
114,"FBI Arrests Baltimore Police Officer For Allegedly Selling Ghost Gun, Drugs",CRIME,Phillip Jackson,2022-07-13,police
115,"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,"Beth Harris, AP",2022-09-20,Baseball
116,"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,"Pat Eaton-Robb, AP",2022-09-19,athletics
117,Boston Marathon To Make Race More Inclusive For Nonbinary Runners,SPORTS,Sanjana Karanth,2022-09-12,athletics
118,"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",SPORTS,"HOWARD FENDRICH, AP",2022-09-11,tennis
119,Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers,SPORTS,Dave Jamieson,2022-09-07,Baseball
120,Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,SPORTS,"Andrew Dalton, AP",2022-08-19,athletics
121,Deshaun Watson Settles With NFL For 11-Game Suspension,SPORTS,"Rob Maadi and Tom Withers, AP",2022-08-18,NFL
122,Talks On Possible Watson Settlement Progress,SPORTS,"Rob Maaddi and Tom Withers, AP",2022-08-17,golf
123,The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,SPORTS,Andre Ellington,2022-08-16,football
124,Tiger To Meet With Top Players Against LIV Golf,SPORTS,"Doug Ferguson, AP",2022-08-16,golf
125,Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans,SPORTS,Ben Blanchet,2022-08-13,NFL
126,Cleveland Browns QB Deshaun Watson Apologizes ‘To All The Women I Have Impacted’,SPORTS,"Tom Withers, AP",2022-08-12,football
127,Judge: 3 Players Who Joined Saudi-Backed Golf Tour Can't Compete In PGA Postseason,SPORTS,"Janie McCauley, AP",2022-08-09,golf
128,Broncos Make History After Being Sold For Record $4.65 Billion,SPORTS,"Dave Campbell, AP",2022-08-09,football
129,Jackie Robinson Museum Opens After 14 Years Of Planning,SPORTS,"RONALD BLUM, AP",2022-07-26,Baseball
130,"Paul Duncan, Former Notre Dame Star And NFL Player, Dead at 35",SPORTS,Elyse Wanshel,2022-07-25,athletics
131,"Charles Barkley: 'If You're Gay Or Transgender, I Love You!'",SPORTS,Hilary Hanson,2022-07-16,basketball
132,Novak Djokovic Beats Nick Kyrgios For 7th Wimbledon Title,SPORTS,"Howard Fendrich, AP",2022-07-10,tennis
133,REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,BUSINESS,Dave Jamieson,2022-08-25,economy
134,Twitter Lawyer Calls Elon Musk 'Committed Enemy' As Judge Sets October Trial,BUSINESS,Marita Vlachou,2022-07-20,technology
